,model_name,label_name,num,correct,partial,incorrect,missing,spurious
0,parsing,transport type,26,0,0,0,6,20
1,parsing,return date,7,0,1,0,6,0
2,parsing,relative to today,0,0,0,0,0,0
3,parsing,superlative,23,0,0,0,17,6
4,parsing,flight time,274,0,0,0,1,273
5,parsing,airline name,61,1,13,5,29,13
6,parsing,economy,7,0,0,0,0,7
7,parsing,depart date,159,0,9,2,148,0
8,parsing,airport name,26,0,8,2,5,11
9,parsing,stop location,22,0,0,2,19,1
10,parsing,meal,17,1,4,0,1,11
11,parsing,airport code,4,0,0,0,4,0
12,parsing,meal description,11,0,0,0,8,3
13,parsing,flight duration,17,0,3,0,3,11
14,parsing,round trip,42,7,16,1,10,8
15,parsing,connect,26,2,0,0,3,21
16,parsing,fare amount,42,0,0,0,0,42
17,parsing,airline code,24,0,0,0,15,9
18,parsing,flight class,22,0,0,0,0,22
19,parsing,O,9,0,0,0,0,9
20,parsing,depart time,127,0,3,31,84,9
21,parsing,class type,16,1,0,1,10,4
22,parsing,days code,5,0,0,0,1,4
23,parsing,date,112,0,0,0,2,110
24,parsing,relative time,1,0,0,0,0,1
25,parsing,arrive date,39,0,0,1,13,25
26,parsing,in location,76,0,10,5,9,52
27,parsing,return time,1,0,0,0,0,1
28,parsing,location,105,0,1,2,0,102
29,parsing,from location,431,0,341,28,57,5
30,parsing,time,85,0,1,0,1,83
31,parsing,fare basis code,5,0,2,0,3,0
32,parsing,to location,429,0,254,30,139,6
33,parsing,restriction code,2,0,0,0,2,0
34,parsing,arrive time,53,1,1,13,16,22
35,parsing,at time,36,0,0,0,0,36
36,parsing,relative cost,18,1,0,0,16,1
37,parsing,aircraft code,13,0,6,0,6,1
38,parsing,alternative,3,0,0,0,1,2
39,parsing,duration,4,0,0,0,0,4
40,parsing,flight number,110,0,5,0,4,101
41,parsing,meal,17,1,4,0,1,11
42,parsing,flight information,0,0,0,0,0,0
43,parsing,cost,0,0,0,0,0,0
44,parsing,quantity,0,0,0,0,0,0
45,parsing,abbreviation,0,0,0,0,0,0
46,parsing,distance,0,0,0,0,0,0
47,parsing,city,0,0,0,0,0,0
48,parsing,ground service,0,0,0,0,0,0
49,parsing,restriction,0,0,0,0,0,0
50,parsing,airport,0,0,0,0,0,0
51,parsing,capacity,0,0,0,0,0,0
52,pre-train,transport type,6,5,1,0,0,0
53,pre-train,return date,5,0,2,1,2,0
54,pre-train,relative to today,0,0,0,0,0,0
55,pre-train,superlative,13,13,0,0,0,0
56,pre-train,flight time,0,0,0,0,0,0
57,pre-train,airline name,52,51,0,0,0,1
58,pre-train,economy,0,0,0,0,0,0
59,pre-train,depart date,154,147,0,0,3,4
60,pre-train,airport name,13,5,0,0,8,0
61,pre-train,stop location,18,17,0,0,0,1
62,pre-train,meal,11,9,1,0,1,0
63,pre-train,airport code,10,2,0,0,1,7
64,pre-train,meal description,5,4,0,0,0,1
65,pre-train,flight duration,6,6,0,0,0,0
66,pre-train,round trip,41,40,0,0,1,0
67,pre-train,connect,2,2,0,0,0,0
68,pre-train,fare amount,2,2,0,0,0,0
69,pre-train,airline code,18,14,1,0,2,1
70,pre-train,flight class,5,5,0,0,0,0
71,pre-train,O,0,0,0,0,0,0
72,pre-train,depart time,123,115,0,2,4,2
73,pre-train,class type,11,10,0,0,0,1
74,pre-train,days code,0,0,0,0,0,0
75,pre-train,date,1,0,0,0,1,0
76,pre-train,relative time,0,0,0,0,0,0
77,pre-train,arrive date,12,3,2,0,4,3
78,pre-train,in location,34,15,1,0,13,5
79,pre-train,return time,0,0,0,0,0,0
80,pre-train,location,3,0,0,0,3,0
81,pre-train,from location,407,385,2,0,11,9
82,pre-train,time,2,0,0,0,2,0
83,pre-train,fare basis code,9,8,0,0,1,0
84,pre-train,to location,407,394,0,0,3,10
85,pre-train,restriction code,4,3,0,0,0,1
86,pre-train,arrive time,38,27,3,1,0,7
87,pre-train,at time,0,0,0,0,0,0
88,pre-train,relative cost,27,24,0,0,1,2
89,pre-train,aircraft code,17,9,0,0,8,0
90,pre-train,alternative,1,0,0,0,1,0
91,pre-train,duration,0,0,0,0,0,0
92,pre-train,flight number,4,2,1,0,0,1
93,pre-train,meal,11,9,1,0,1,0
94,pre-train,flight information,0,0,0,0,0,0
95,pre-train,cost,0,0,0,0,0,0
96,pre-train,quantity,0,0,0,0,0,0
97,pre-train,abbreviation,0,0,0,0,0,0
98,pre-train,distance,0,0,0,0,0,0
99,pre-train,city,0,0,0,0,0,0
100,pre-train,ground service,0,0,0,0,0,0
101,pre-train,restriction,0,0,0,0,0,0
102,pre-train,airport,0,0,0,0,0,0
103,pre-train,capacity,0,0,0,0,0,0
104,gpt3,transport type,8,0,0,0,8,0
105,gpt3,return date,15,0,1,1,5,8
106,gpt3,relative to today,1,0,0,0,0,1
107,gpt3,superlative,18,0,0,0,18,0
108,gpt3,flight time,1,0,0,0,1,0
109,gpt3,airline name,49,6,0,0,41,2
110,gpt3,economy,0,0,0,0,0,0
111,gpt3,depart date,171,80,9,6,67,9
112,gpt3,airport name,19,5,0,0,11,3
113,gpt3,stop location,22,2,0,0,19,1
114,gpt3,meal,9,0,1,1,4,3
115,gpt3,airport code,4,1,0,1,2,0
116,gpt3,meal description,9,1,0,0,8,0
117,gpt3,flight duration,14,0,0,0,5,9
118,gpt3,round trip,35,0,0,0,35,0
119,gpt3,connect,5,0,0,0,5,0
120,gpt3,fare amount,0,0,0,0,0,0
121,gpt3,airline code,19,1,1,2,11,4
122,gpt3,flight class,0,0,0,0,0,0
123,gpt3,O,0,0,0,0,0,0
124,gpt3,depart time,136,62,7,3,44,20
125,gpt3,class type,11,3,0,0,8,0
126,gpt3,days code,1,0,0,0,1,0
127,gpt3,date,30,0,0,0,2,28
128,gpt3,relative time,1,0,0,0,0,1
129,gpt3,arrive date,22,1,1,1,11,8
130,gpt3,in location,29,3,0,0,26,0
131,gpt3,return time,1,0,0,0,0,1
132,gpt3,location,13,0,2,0,0,11
133,gpt3,from location,432,371,6,14,38,3
134,gpt3,time,22,1,0,0,1,20
135,gpt3,fare basis code,5,3,0,0,2,0
136,gpt3,to location,428,362,9,15,38,4
137,gpt3,restriction code,2,1,0,0,1,0
138,gpt3,arrive time,31,3,2,2,23,1
139,gpt3,at time,1,0,0,0,0,1
140,gpt3,relative cost,30,22,0,0,1,7
141,gpt3,aircraft code,11,1,0,0,10,0
142,gpt3,alternative,2,0,0,0,1,1
143,gpt3,duration,0,0,0,0,0,0
144,gpt3,flight number,12,6,2,1,0,3
145,gpt3,meal,9,0,1,1,4,3
146,gpt3,flight information,0,0,0,0,0,0
147,gpt3,cost,1,0,0,0,0,1
148,gpt3,quantity,0,0,0,0,0,0
149,gpt3,abbreviation,0,0,0,0,0,0
150,gpt3,distance,0,0,0,0,0,0
151,gpt3,city,0,0,0,0,0,0
152,gpt3,ground service,0,0,0,0,0,0
153,gpt3,restriction,0,0,0,0,0,0
154,gpt3,airport,0,0,0,0,0,0
155,gpt3,capacity,0,0,0,0,0,0
